Time	PPG1
0	1349
0.008	1471
0.016	1613
0.024	1768
0.032	1928
0.04	2081
0.048	2225
0.056	2354
0.064	2457
0.072	2531
0.08	2581
0.088	2611
0.096	2617
0.104	2602
0.112	2573
0.12	2536
0.128	2489
0.136	2434
0.144	2374
0.152	2311
0.16	2245
0.168	2174
0.176	2098
0.184	2021
0.192	1942
0.2	1861
0.208	1783
0.216	1707
0.224	1634
0.232	1567
0.24	1507
0.248	1455
0.256	1413
0.264	1381
0.272	1356
0.28	1337
0.288	1329
0.296	1330
0.304	1336
0.312	1345
0.32	1359
0.328	1377
0.336	1396
0.344	1415
0.352	1433
0.36	1449
0.368	1464
0.376	1475
0.384	1482
0.392	1484
0.4	1484
0.408	1483
0.416	1480
0.424	1473
0.432	1465
0.44	1457
0.448	1447
0.456	1435
0.464	1423
0.472	1411
0.48	1398
0.488	1384
0.496	1371
0.504	1359
0.512	1347
0.52	1336
0.528	1326
0.536	1317
0.544	1308
0.552	1298
0.56	1289
0.568	1280
0.576	1270
0.584	1261
0.592	1252
0.6	1242
0.608	1233
0.616	1225
0.624	1216
0.632	1207
0.64	1199
0.648	1190
0.656	1181
0.664	1172
0.672	1162
0.68	1156
0.688	1156
0.696	1164
0.704	1188
0.712	1238
0.72	1311
0.728	1405
0.736	1524
0.744	1665
0.752	1821
0.76	1980
0.768	2135
0.776	2278
0.784	2404
0.792	2512
0.8	2595
0.808	2649
0.816	2679
0.824	2691
0.832	2683
0.84	2657
0.848	2620
0.856	2575
0.864	2522
0.872	2460
0.88	2393
0.888	2325
0.896	2253
0.904	2176
0.912	2096
0.92	2016
0.928	1935
0.936	1855
0.944	1778
0.952	1705
0.96	1639
0.968	1581
0.976	1531
0.984	1489
0.992	1456
1	1431
1.008	1415
1.016	1407
1.024	1407
1.032	1414
1.04	1425
1.048	1441
1.056	1460
1.064	1478
1.072	1496
1.08	1513
1.088	1528
1.096	1540
1.104	1550
1.112	1557
1.12	1562
1.128	1563
1.136	1561
1.144	1557
1.152	1550
1.16	1540
1.168	1530
1.176	1520
1.184	1508
1.192	1494
1.2	1480
1.208	1466
1.216	1452
1.224	1438
1.232	1424
1.24	1411
1.248	1400
1.256	1389
1.264	1379
1.272	1370
1.28	1361
1.288	1352
1.296	1342
1.304	1333
1.312	1324
1.32	1314
1.328	1306
1.336	1298
1.344	1289
1.352	1280
1.36	1270
1.368	1260
1.376	1250
1.384	1240
1.392	1229
1.4	1219
1.408	1212
1.416	1213
1.424	1224
